epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,22464.7,0.95585,0.85132,0.89194,0.52861,0.53889,0.51036,0.35975,0.91891,0.86016,0.91408,0.005842,0.005842,0.005842
44,22984.4,0.93227,0.8329,0.8913,0.57287,0.53386,0.47915,0.34531,0.91795,0.85059,0.90222,0.005743,0.005743,0.005743
45,23502,0.94842,0.82533,0.88941,0.51466,0.5991,0.53353,0.37507,0.90676,0.83903,0.89785,0.005644,0.005644,0.005644
46,24018,0.95631,0.82881,0.89082,0.54903,0.44319,0.50078,0.33723,0.89796,0.81092,0.8974,0.005545,0.005545,0.005545
47,24535.6,0.9238,0.80685,0.88567,0.46503,0.56916,0.46264,0.32431,0.89234,0.86261,0.89578,0.005446,0.005446,0.005446
48,25053.3,0.93608,0.81988,0.8876,0.65262,0.46845,0.50147,0.34297,0.88814,0.84494,0.88906,0.005347,0.005347,0.005347
49,25572.3,0.92915,0.81567,0.88284,0.60686,0.46035,0.42567,0.31035,0.8885,0.83465,0.89,0.005248,0.005248,0.005248
50,26088.6,0.9282,0.8228,0.89106,0.46566,0.54872,0.54489,0.36896,0.88704,0.82096,0.89539,0.005149,0.005149,0.005149
51,26606.8,0.93257,0.80871,0.88177,0.62497,0.55201,0.55454,0.37167,0.90165,0.82367,0.90417,0.00505,0.00505,0.00505
52,27124.1,0.92241,0.8221,0.88403,0.59045,0.53976,0.54758,0.39286,0.86738,0.79672,0.891,0.004951,0.004951,0.004951
53,27654.8,0.92949,0.80545,0.885,0.58989,0.50958,0.52002,0.38177,0.89273,0.81574,0.90046,0.004852,0.004852,0.004852
54,28185.7,0.92034,0.79455,0.88507,0.60056,0.59766,0.54972,0.4086,0.86028,0.78614,0.8957,0.004753,0.004753,0.004753
55,28711.2,0.90665,0.79252,0.88265,0.5914,0.56814,0.53406,0.38276,0.86076,0.79698,0.8931,0.004654,0.004654,0.004654
56,29231.4,0.90835,0.79358,0.87765,0.58028,0.46693,0.48838,0.36336,0.89172,0.81682,0.88916,0.004555,0.004555,0.004555
57,29747.8,0.90856,0.80203,0.88066,0.62322,0.48766,0.54472,0.36003,0.87401,0.79079,0.88671,0.004456,0.004456,0.004456
58,30265.6,0.90434,0.7888,0.87948,0.5425,0.57812,0.56542,0.40624,0.87721,0.80235,0.90386,0.004357,0.004357,0.004357
59,30782.8,0.88625,0.77332,0.87595,0.62406,0.57706,0.59356,0.45056,0.8434,0.78466,0.88244,0.004258,0.004258,0.004258
60,31300.1,0.89857,0.7692,0.87604,0.63444,0.52466,0.55671,0.39877,0.86593,0.78172,0.89047,0.004159,0.004159,0.004159
61,31818.6,0.87033,0.75979,0.86917,0.62842,0.54591,0.57726,0.43182,0.87633,0.79237,0.88621,0.00406,0.00406,0.00406
62,32338.8,0.88126,0.75652,0.87163,0.58216,0.59178,0.58194,0.40879,0.8164,0.77412,0.87759,0.003961,0.003961,0.003961
63,32869,0.87975,0.74189,0.87416,0.6327,0.57743,0.59663,0.44696,0.82355,0.76215,0.87908,0.003862,0.003862,0.003862
64,33388,0.88648,0.74921,0.87289,0.54208,0.5524,0.57324,0.43151,0.81612,0.76482,0.87995,0.003763,0.003763,0.003763
65,33905.3,0.87449,0.74249,0.87184,0.64715,0.53385,0.57849,0.43954,0.81454,0.75181,0.87385,0.003664,0.003664,0.003664
66,34422.3,0.86497,0.72731,0.86917,0.61722,0.55462,0.57078,0.41809,0.84623,0.77503,0.87944,0.003565,0.003565,0.003565
67,34941.4,0.8891,0.75938,0.87284,0.52451,0.57169,0.53314,0.39486,0.83238,0.76895,0.87826,0.003466,0.003466,0.003466
68,35457.3,0.8712,0.73772,0.86948,0.69276,0.58662,0.61108,0.43507,0.81735,0.73574,0.86983,0.003367,0.003367,0.003367
69,35975.8,0.86753,0.73392,0.86958,0.64228,0.55459,0.57861,0.4469,0.81747,0.75478,0.86544,0.003268,0.003268,0.003268
