epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13759.3,1.29569,1.6207,1.33981,0.3793,0.55769,0.44182,0.2962,1.16574,1.31104,1.20416,0.005842,0.005842,0.005842
44,14038.5,1.29474,1.60523,1.32796,0.40379,0.38396,0.35945,0.23374,1.2719,1.4596,1.26695,0.005743,0.005743,0.005743
45,14318.3,1.303,1.62454,1.33802,0.31517,0.55757,0.42662,0.30121,1.14837,1.37001,1.2036,0.005644,0.005644,0.005644
46,14595.5,1.30193,1.61635,1.33459,0.44581,0.50701,0.40931,0.28962,1.1043,1.44225,1.17984,0.005545,0.005545,0.005545
47,14879.6,1.27021,1.56936,1.30841,0.41309,0.50689,0.47049,0.31262,1.14213,1.33427,1.18272,0.005446,0.005446,0.005446
48,15162.2,1.27333,1.56565,1.31058,0.51385,0.48599,0.47507,0.32122,1.06776,1.27022,1.16902,0.005347,0.005347,0.005347
49,15442.2,1.26532,1.58001,1.30601,0.35299,0.33921,0.39612,0.27987,1.10392,1.50701,1.18294,0.005248,0.005248,0.005248
50,15722,1.27003,1.56602,1.31691,0.38691,0.42505,0.37184,0.26446,1.11516,1.63691,1.18645,0.005149,0.005149,0.005149
51,16001.8,1.26373,1.56032,1.30566,0.33946,0.5001,0.41,0.28109,1.15302,1.41844,1.18939,0.00505,0.00505,0.00505
52,16282.7,1.25081,1.54754,1.29701,0.42654,0.33323,0.37906,0.262,1.15316,1.58917,1.20144,0.004951,0.004951,0.004951
53,16563.3,1.25161,1.55573,1.30395,0.45994,0.51577,0.4494,0.31539,1.10309,1.2303,1.18658,0.004852,0.004852,0.004852
54,16843,1.25254,1.51815,1.29355,0.55649,0.39597,0.41563,0.27876,1.15124,1.3908,1.22905,0.004753,0.004753,0.004753
55,17122.9,1.23333,1.53401,1.2956,0.59724,0.44275,0.49553,0.35481,1.09053,1.35135,1.19035,0.004654,0.004654,0.004654
56,17401.4,1.22357,1.53772,1.29787,0.47777,0.43386,0.43048,0.30498,1.07649,1.44303,1.16732,0.004555,0.004555,0.004555
57,17681,1.2204,1.53185,1.29207,0.81394,0.37611,0.45291,0.31441,1.08407,1.2441,1.16751,0.004456,0.004456,0.004456
58,17959.4,1.22802,1.49773,1.29341,0.42358,0.52586,0.46725,0.31971,1.09985,1.2606,1.18514,0.004357,0.004357,0.004357
59,18237.1,1.22678,1.47891,1.28495,0.55057,0.54446,0.51002,0.34071,1.09575,1.23053,1.16286,0.004258,0.004258,0.004258
60,18521,1.22033,1.44987,1.26867,0.54649,0.58862,0.56747,0.42126,1.03851,1.14599,1.12937,0.004159,0.004159,0.004159
61,18805.2,1.20675,1.45792,1.28036,0.44035,0.45211,0.42829,0.31757,1.08741,1.42666,1.17458,0.00406,0.00406,0.00406
62,19098.2,1.20557,1.49634,1.27942,0.61389,0.50308,0.53307,0.38271,1.10205,1.19792,1.19572,0.003961,0.003961,0.003961
63,19394.2,1.21079,1.47379,1.27426,0.45956,0.44563,0.4783,0.36397,1.06045,1.33761,1.15764,0.003862,0.003862,0.003862
64,19688,1.18762,1.43036,1.25109,0.70431,0.48592,0.54425,0.4016,1.02298,1.10805,1.13377,0.003763,0.003763,0.003763
65,19981.9,1.17864,1.43206,1.2668,0.67512,0.5078,0.54218,0.39129,1.04075,1.23922,1.14493,0.003664,0.003664,0.003664
66,20265,1.19108,1.4589,1.24901,0.53021,0.50924,0.50362,0.34838,1.04539,1.36329,1.15083,0.003565,0.003565,0.003565
67,20544.3,1.19634,1.43593,1.25091,0.47417,0.43988,0.42065,0.30303,1.06076,1.30845,1.1822,0.003466,0.003466,0.003466
68,20824.2,1.1818,1.4255,1.24857,0.65204,0.50534,0.56618,0.40899,1.05657,1.16072,1.14393,0.003367,0.003367,0.003367
69,21103.7,1.17176,1.43598,1.26516,0.43364,0.51156,0.49009,0.38192,1.04691,1.39162,1.1566,0.003268,0.003268,0.003268
70,21384.3,1.16229,1.43042,1.26532,0.60748,0.49463,0.57258,0.40679,1.03593,1.15679,1.13355,0.003169,0.003169,0.003169
71,21661.9,1.17485,1.424,1.24143,0.74302,0.54696,0.58157,0.42086,1.04042,1.14322,1.13238,0.00307,0.00307,0.00307
72,21941,1.17621,1.40148,1.25368,0.5605,0.51406,0.54524,0.39131,1.02413,1.20714,1.13639,0.002971,0.002971,0.002971
73,22220.7,1.13611,1.41506,1.24083,0.68624,0.53625,0.5989,0.44308,1.01947,1.16249,1.13507,0.002872,0.002872,0.002872
74,22498.7,1.18344,1.42781,1.25077,0.73306,0.57302,0.62374,0.45772,1.00551,1.18296,1.12198,0.002773,0.002773,0.002773
75,22777.9,1.16978,1.39787,1.23234,0.73438,0.44908,0.56523,0.3933,1.03271,1.27095,1.1507,0.002674,0.002674,0.002674
76,23059.1,1.13248,1.4102,1.23935,0.69216,0.53121,0.59282,0.43196,1.04635,1.18841,1.13532,0.002575,0.002575,0.002575
77,23338.5,1.16577,1.38895,1.24713,0.78869,0.5086,0.606,0.45043,0.98429,1.14404,1.11679,0.002476,0.002476,0.002476
78,23616.7,1.1328,1.38014,1.23516,0.72652,0.52681,0.63736,0.4684,0.98859,1.06518,1.10755,0.002377,0.002377,0.002377
79,23895.7,1.12845,1.34695,1.21947,0.63143,0.55221,0.62044,0.45778,1.00346,1.06927,1.12001,0.002278,0.002278,0.002278
80,24174.3,1.12274,1.34274,1.22016,0.68946,0.54032,0.58487,0.43538,0.96064,1.17535,1.09321,0.002179,0.002179,0.002179
81,24452.1,1.13048,1.32675,1.22241,0.70662,0.53762,0.60542,0.44919,0.98311,1.08127,1.1125,0.00208,0.00208,0.00208
82,24732,1.13419,1.3478,1.23308,0.77496,0.54927,0.62069,0.47387,0.96895,1.07479,1.08838,0.001981,0.001981,0.001981
83,25012,1.12832,1.35064,1.24666,0.76554,0.56997,0.62923,0.45545,0.98134,1.13552,1.11582,0.001882,0.001882,0.001882
84,25290,1.12165,1.32215,1.22154,0.66666,0.6058,0.65522,0.4811,0.98428,1.01804,1.10271,0.001783,0.001783,0.001783
85,25569.2,1.14148,1.34714,1.23595,0.78303,0.56528,0.62842,0.46035,0.96145,1.07825,1.09004,0.001684,0.001684,0.001684
86,25848.9,1.1302,1.32882,1.20881,0.76543,0.54551,0.61369,0.46069,0.96285,1.07564,1.09014,0.001585,0.001585,0.001585
87,26129.6,1.10878,1.32541,1.21603,0.70906,0.57049,0.6157,0.45798,0.95878,1.07911,1.09412,0.001486,0.001486,0.001486
88,26408.5,1.0994,1.31414,1.21019,0.70621,0.58506,0.63377,0.4661,1.00793,1.06607,1.11702,0.001387,0.001387,0.001387
89,26688.4,1.10422,1.31098,1.23193,0.74801,0.50123,0.58229,0.43586,0.99226,1.1809,1.12463,0.001288,0.001288,0.001288
90,26973.9,1.09848,1.26465,1.19581,0.72485,0.59227,0.65685,0.48705,0.95696,1.01179,1.09483,0.001189,0.001189,0.001189
91,27243.1,1.10635,1.29936,1.20242,0.69396,0.55482,0.6269,0.46067,0.96054,1.13918,1.10609,0.00109,0.00109,0.00109
92,27512.3,1.05997,1.20074,1.17653,0.61791,0.46935,0.53413,0.39611,0.98045,1.30236,1.10969,0.000991,0.000991,0.000991
93,27784,1.05795,1.1876,1.17201,0.67299,0.54741,0.61558,0.4574,0.96966,1.12335,1.10697,0.000892,0.000892,0.000892
94,28055,1.04795,1.17,1.16435,0.65914,0.57876,0.63994,0.48046,0.9617,1.05901,1.1014,0.000793,0.000793,0.000793
95,28325.8,1.03089,1.14625,1.16227,0.83643,0.48407,0.62544,0.46323,0.96136,1.04369,1.09714,0.000694,0.000694,0.000694
96,28596.5,1.04684,1.14046,1.14835,0.75437,0.52081,0.62127,0.46046,0.97245,1.0607,1.09575,0.000595,0.000595,0.000595
97,28869.6,1.03798,1.11383,1.14704,0.84235,0.48473,0.61621,0.46136,0.94894,1.05322,1.08556,0.000496,0.000496,0.000496
98,29139.5,1.04148,1.1286,1.15708,0.8556,0.49085,0.6291,0.47351,0.95039,1.02269,1.09425,0.000397,0.000397,0.000397
99,29413.4,1.02644,1.103,1.14292,0.82371,0.48495,0.62478,0.47611,0.94938,1.02441,1.09152,0.000298,0.000298,0.000298
100,29690.4,1.01951,1.09176,1.13952,0.82796,0.4939,0.63268,0.4809,0.95372,1.02773,1.09399,0.000199,0.000199,0.000199
